Employe_Id	Boisson_Id	Date
L95633	15	16/11/2022
F16023	22	07/11/2022
B16336	42	06/11/2022
G95624	2	06/11/2022
W48418	28	14/11/2022
Y47307	23	20/11/2022
L95633	19	20/11/2022
I29058	20	18/11/2022
F50762	12	20/11/2022
Z34962	38	22/11/2022
P35224	20	06/11/2022
I09813	29	15/11/2022
Z86263	34	12/11/2022
M66769	20	18/11/2022
N28315	41	17/11/2022
H59833	28	02/11/2022
Z53323	11	14/11/2022
L91848	38	21/11/2022
Z86263	40	08/11/2022
Z60347	31	15/11/2022
B77851	18	07/11/2022
M66769	19	20/11/2022
F82217	1	20/11/2022
F93292	20	22/11/2022
Z27737	26	18/11/2022
D78946	20	13/11/2022
M66769	28	09/11/2022
J28942	36	10/11/2022
N28315	29	25/11/2022
Z34962	9	26/11/2022
G95624	25	02/11/2022
J28942	2	01/11/2022
F69733	23	27/11/2022
J67582	37	18/11/2022
W48418	39	13/11/2022
Q86815	0	09/11/2022
Y96988	9	07/11/2022
R19192	21	06/11/2022
B77851	29	04/11/2022
K35006	18	10/11/2022
I46489	8	10/11/2022
G22804	28	07/11/2022
W84980	21	13/11/2022
E45872	19	27/11/2022
G65344	18	11/11/2022
Z60347	27	27/11/2022
N80181	23	15/11/2022
V02493	18	25/11/2022
N32257	27	28/11/2022
Q17124	7	16/11/2022
L97294	19	14/11/2022
G82993	28	17/11/2022
J28942	22	11/11/2022
G22804	36	19/11/2022
L97294	15	14/11/2022
I29058	29	21/11/2022
F33683	29	05/11/2022
I29058	27	28/11/2022
L91848	7	10/11/2022
W48418	25	24/11/2022
Y47307	3	22/11/2022
S92802	28	22/11/2022
Z27737	21	15/11/2022
N28315	28	04/11/2022
C70945	19	09/11/2022
U18378	26	27/11/2022
F82217	27	27/11/2022
F50762	21	04/11/2022
H48167	0	04/11/2022
L47328	42	29/11/2022
W48418	36	25/11/2022
F33683	23	13/11/2022
I09813	12	09/11/2022
Z34962	0	05/11/2022
L97294	34	23/11/2022
F50762	28	28/11/2022
O85368	7	06/11/2022
R97867	21	01/11/2022
Z86263	35	17/11/2022
K24786	28	09/11/2022
Z53323	23	20/11/2022
B77851	1	10/11/2022
P35224	16	15/11/2022
J28942	28	20/11/2022
A70424	29	05/11/2022
Q17124	27	03/11/2022
W84980	28	12/11/2022
I46489	18	09/11/2022
Q17124	18	15/11/2022
Z60347	41	05/11/2022
O18047	2	10/11/2022
V69700	23	08/11/2022
J28942	33	19/11/2022
G22804	31	29/11/2022
A70424	42	03/11/2022
G65344	29	10/11/2022
N22929	34	18/11/2022
D78946	0	23/11/2022
K78882	15	13/11/2022
N32257	3	29/11/2022
Q86815	35	26/11/2022
F47721	30	07/11/2022
U18378	1	24/11/2022
O00253	18	08/11/2022
F47721	22	13/11/2022
H05458	23	26/11/2022
L47328	36	29/11/2022
V84299	23	17/11/2022
V28351	3	12/11/2022
F33683	27	12/11/2022
R19192	11	01/11/2022
G95624	23	09/11/2022
G82993	34	10/11/2022
H59833	26	23/11/2022
H05458	27	19/11/2022
Y96988	34	13/11/2022
F93292	28	18/11/2022
J67582	29	12/11/2022
F16023	31	22/11/2022
U61799	39	18/11/2022
G22804	21	27/11/2022
F47721	18	29/11/2022
F69733	34	25/11/2022
G65344	17	18/11/2022
Z86263	19	17/11/2022
N32257	25	03/11/2022
Y48318	24	24/11/2022
C00234	28	24/11/2022
K35006	28	16/11/2022
N61159	27	14/11/2022
G82993	23	21/11/2022
V69700	38	28/11/2022
B77851	17	16/11/2022
N32257	20	01/11/2022
L95633	43	01/11/2022
R19192	12	06/11/2022
I56295	26	08/11/2022
Q86815	23	15/11/2022
G22804	40	04/11/2022
F16023	19	06/11/2022
B46727	3	11/11/2022
V69700	29	15/11/2022
A70424	29	06/11/2022
M66769	37	14/11/2022
V84299	6	10/11/2022
Q17124	3	27/11/2022
Y96988	15	06/11/2022
I56295	10	12/11/2022
V28351	0	20/11/2022
H59833	20	28/11/2022
Z91269	28	11/11/2022
C00234	29	17/11/2022
Z27737	28	29/11/2022
G82993	29	01/11/2022
I29058	39	13/11/2022
C70945	9	23/11/2022
P35224	23	01/11/2022
B16336	24	15/11/2022
Y47307	23	15/11/2022
U61799	28	05/11/2022
K78882	28	04/11/2022
A70424	28	19/11/2022
E45872	30	03/11/2022
E45872	25	25/11/2022
B77851	10	07/11/2022
Z34962	25	20/11/2022
Z53323	30	12/11/2022
P35224	29	21/11/2022
G65344	24	18/11/2022
N80181	23	07/11/2022
Q48675	29	05/11/2022
J28942	26	04/11/2022
L47328	18	18/11/2022
N28315	26	29/11/2022
Y75396	20	01/11/2022
N22929	26	28/11/2022
U18378	5	02/11/2022
V28351	28	19/11/2022
V69700	1	23/11/2022
H05458	0	06/11/2022
F50762	8	20/11/2022
I56295	23	17/11/2022
Z27737	26	14/11/2022
G95624	18	25/11/2022
V28351	36	27/11/2022
N32257	24	09/11/2022
J67582	22	16/11/2022
V69700	6	13/11/2022
J28942	3	22/11/2022
K24786	0	24/11/2022
V28351	20	25/11/2022
F47721	1	05/11/2022
L95633	11	11/11/2022
N22929	6	01/11/2022
Z86263	26	22/11/2022
G22804	17	20/11/2022
Y48318	24	29/11/2022
V28351	27	05/11/2022
P35224	29	17/11/2022
L95633	24	15/11/2022
B16336	35	28/11/2022
V90078	9	09/11/2022
F50762	36	04/11/2022
K35006	38	20/11/2022
V84299	3	19/11/2022
C00234	23	06/11/2022
H59833	12	16/11/2022
F33683	21	16/11/2022
G82993	28	05/11/2022
E45872	2	21/11/2022
N80181	30	11/11/2022
N22929	28	01/11/2022
O00253	23	22/11/2022
J67582	21	07/11/2022
E80025	0	10/11/2022
B16336	23	28/11/2022
N80181	0	16/11/2022
Q17124	24	07/11/2022
Z27737	6	06/11/2022
F33683	1	19/11/2022
F47721	11	29/11/2022
F16023	15	15/11/2022
Z27737	36	02/11/2022
C70945	34	06/11/2022
L97294	18	26/11/2022
C00234	15	26/11/2022
F69733	28	29/11/2022
F16023	32	28/11/2022
L95633	29	14/11/2022
K35006	25	06/11/2022
H48167	0	27/11/2022
C00234	29	08/11/2022
F47721	7	14/11/2022
Z53323	19	15/11/2022
Y48318	22	24/11/2022
E45872	23	06/11/2022
E80025	28	16/11/2022
V02493	6	11/11/2022
Z34962	29	12/11/2022
L97294	0	17/11/2022
K78882	28	25/11/2022
D78946	18	03/11/2022
K35006	25	15/11/2022
H59833	6	18/11/2022
K35006	0	20/11/2022
S92802	28	22/11/2022
W84980	29	02/11/2022
F82217	24	01/11/2022
V90078	19	12/11/2022
F33683	21	05/11/2022
Q17124	26	02/11/2022
I56295	22	20/11/2022
N32257	23	06/11/2022
N61159	24	29/11/2022
E45872	24	21/11/2022
Z34962	28	25/11/2022
N61159	8	23/11/2022
I46489	19	21/11/2022
L95633	15	04/11/2022
Z27737	23	15/11/2022
O85368	24	11/11/2022
W48418	26	16/11/2022
D78946	24	04/11/2022
L47328	29	09/11/2022
O18047	29	21/11/2022
L97294	25	17/11/2022
O18047	29	23/11/2022
Y45556	18	21/11/2022
N28315	20	07/11/2022
Y96988	29	01/11/2022
R19192	20	21/11/2022
R97867	23	24/11/2022
B77851	29	18/11/2022
F47721	1	27/11/2022
N32257	28	19/11/2022
U48940	29	29/11/2022
Y96988	0	20/11/2022
F33683	27	14/11/2022
L95633	21	09/11/2022
F50762	21	01/11/2022
I09813	22	12/11/2022
J28942	28	13/11/2022
O18047	3	12/11/2022
D78946	2	18/11/2022
I56295	21	01/11/2022
Z27737	21	28/11/2022
K35006	27	01/11/2022
F47721	28	20/11/2022
Q17124	21	12/11/2022
Q48675	25	19/11/2022
F50762	6	16/11/2022
I09813	19	15/11/2022
L91848	3	05/11/2022
O85368	20	17/11/2022
Z91269	16	22/11/2022
F93292	5	27/11/2022
N22929	22	14/11/2022
J28942	41	15/11/2022
C00234	23	03/11/2022
Y48318	39	13/11/2022
Z27737	0	07/11/2022
L91848	16	15/11/2022
J67582	27	20/11/2022
H48167	12	03/11/2022
Y96988	23	19/11/2022
U48940	19	13/11/2022
F47721	18	28/11/2022
F33683	3	17/11/2022
S92802	17	01/11/2022
Z91269	18	10/11/2022
F69733	2	01/11/2022
G95624	24	28/11/2022
V90078	26	18/11/2022
U61799	39	21/11/2022
Z91269	37	25/11/2022
W48418	34	12/11/2022
N61159	29	05/11/2022
J28942	25	08/11/2022
G65344	38	12/11/2022
V28351	38	02/11/2022
N32257	20	04/11/2022
F82217	17	05/11/2022
G82993	8	01/11/2022
H59833	29	05/11/2022
Y96988	14	17/11/2022
I29058	21	13/11/2022
U61799	21	11/11/2022
H05458	24	27/11/2022
I09813	11	05/11/2022
U18378	28	25/11/2022
I56295	27	21/11/2022
F33683	18	15/11/2022
I56295	24	17/11/2022
G22804	7	12/11/2022
C00234	20	14/11/2022
G82993	18	28/11/2022
C70945	34	27/11/2022
Q17124	23	15/11/2022
D78946	11	16/11/2022
N28315	37	21/11/2022
Z86263	27	05/11/2022
R19192	3	05/11/2022
C00234	28	01/11/2022
Z53323	29	02/11/2022
H05458	3	26/11/2022
G65344	34	09/11/2022
N80181	0	20/11/2022
E45872	17	24/11/2022
V28351	20	20/11/2022
Q17124	34	03/11/2022
V28351	29	23/11/2022
L91848	17	14/11/2022
K24786	27	19/11/2022
R19192	12	14/11/2022
F16023	2	28/11/2022
K35006	25	06/11/2022
U18378	19	08/11/2022
I46489	28	14/11/2022
F16023	39	08/11/2022
I29058	29	09/11/2022
H48167	29	25/11/2022
F50762	28	03/11/2022
B46727	30	12/11/2022
R19192	20	05/11/2022
Q17124	25	04/11/2022
Y75396	23	11/11/2022
V90078	29	20/11/2022
N22929	30	22/11/2022
Z34962	3	10/11/2022
Y48318	28	01/11/2022
B77851	23	22/11/2022
I46489	23	28/11/2022
M12306	34	10/11/2022
Z53323	12	03/11/2022
O85368	0	14/11/2022
Q17124	2	08/11/2022
Y75396	35	14/11/2022
Z27737	26	04/11/2022
I09813	12	01/11/2022
J67582	41	18/11/2022
U61799	15	20/11/2022
L97294	42	14/11/2022
M12306	2	04/11/2022
V84299	29	01/11/2022
B46727	34	20/11/2022
M66769	3	27/11/2022
G65344	23	04/11/2022
Z34962	0	19/11/2022
P35224	3	29/11/2022
K78882	0	05/11/2022
G82993	31	05/11/2022
V90078	3	19/11/2022
